# epsilon_O_kJ_mol sigma_O_nm density_kg_m3 enthalpy_vap_kJ_mol diffusion_1e9_m2_s
0.582326 0.317160 924.266 40.595 2.8315
0.584312 0.312522 973.688 41.024 2.5964
0.591314 0.307661 1025.159 41.723 2.3962
0.591539 0.320386 887.998 40.851 2.9241
0.598739 0.316291 943.122 41.501 2.6998
0.600669 0.322803 861.349 41.107 3.0352
0.603383 0.313790 971.547 41.869 2.5842
0.608466 0.307374 1037.564 42.565 2.3037
0.612441 0.321906 883.362 41.735 2.8565
0.616278 0.308904 1025.650 42.719 2.2612
0.618522 0.314590 978.843 42.603 2.4607
0.623361 0.321101 907.046 42.313 2.7428
0.627949 0.315466 976.634 42.981 2.4802
0.633067 0.308616 1044.737 43.596 2.1773
0.633883 0.311488 1017.686 43.380 2.2803
0.637938 0.317424 960.376 43.293 2.4518
0.642813 0.309843 1041.611 44.000 2.1413
0.648400 0.316478 979.115 43.832 2.3389
0.652236 0.313515 1013.425 44.283 2.2015
0.655778 0.319120 955.189 44.049 2.4478
0.656675 0.317967 966.567 44.085 2.3552
0.664000 0.318404 971.291 44.501 2.3812
0.667544 0.314185 1016.413 44.905 2.1491
0.669035 0.309607 1057.387 45.142 1.9687
0.675408 0.313072 1033.321 45.323 2.0633
0.677747 0.312069 1049.620 45.508 2.0421
0.683032 0.319963 966.455 45.259 2.3092
0.686874 0.322287 939.007 45.402 2.3965
0.688262 0.315006 1028.131 45.872 2.0731
0.694802 0.311026 1071.252 46.376 1.8826
0.695737 0.319455 984.165 46.053 2.2201
0.701140 0.308090 1097.583 46.860 1.7607
0.704346 0.310482 1079.058 46.731 1.7925
0.707553 0.318577 997.119 46.612 2.0605
0.712826 0.321456 970.980 46.722 2.1732
0.716321 0.310751 1085.567 47.317 1.7534
